"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Oct 16 18:15:45 GMT 2023","Mon Oct 16 18:16:06 GMT 2023","20881","Main test.Test Elements Block.Test check box","test_expand_collapse","TestCheckbox","","","User can expand and collapse the tree","User can expand all levels subfolders and then collapse them"
"passed","Mon Oct 16 18:16:22 GMT 2023","Mon Oct 16 18:16:23 GMT 2023","1224","Main test.Test Elements Block.Test text box","test_wrong_email","Test_Text_Box_Form","","","User fill in all fields and submit the form","User can't submit the form with the wrong email"
"passed","Mon Oct 16 18:16:18 GMT 2023","Mon Oct 16 18:16:19 GMT 2023","1186","Main test.Test Elements Block.Test text box","test_positive_text_box","Test_Text_Box_Form","","","User fill in all fields and submit the form","User can fill in the input fields and submit the form"
"passed","Mon Oct 16 18:16:09 GMT 2023","Mon Oct 16 18:16:14 GMT 2023","5337","Main test.Test Elements Block.Test check box","test_step_expand_collapse","TestCheckbox","","","User can expand and collapse tree step by step","User can expand and collapse all levels subfolders step by step"
