"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Oct 16 18:23:22 GMT 2023","Mon Oct 16 18:23:25 GMT 2023","3383","Main test.Test Elements Block.Test check box","test_step_expand_collapse_new","TestCheckbox","","","User can expand and collapse tree step by step","User can expand and collapse all levels subfolders step by step"
"passed","Mon Oct 16 18:22:49 GMT 2023","Mon Oct 16 18:23:10 GMT 2023","20778","Main test.Test Elements Block.Test check box","test_expand_collapse","TestCheckbox","","","User can expand and collapse the tree","User can expand all levels subfolders and then collapse them"
"passed","Mon Oct 16 18:23:33 GMT 2023","Mon Oct 16 18:23:34 GMT 2023","1369","Main test.Test Elements Block.Test text box","test_wrong_email","Test_Text_Box_Form","","","User fill in all fields and submit the form","User can't submit the form with the wrong email"
"passed","Mon Oct 16 18:23:29 GMT 2023","Mon Oct 16 18:23:30 GMT 2023","1200","Main test.Test Elements Block.Test text box","test_positive_text_box","Test_Text_Box_Form","","","User fill in all fields and submit the form","User can fill in the input fields and submit the form"
"passed","Mon Oct 16 18:23:13 GMT 2023","Mon Oct 16 18:23:19 GMT 2023","5368","Main test.Test Elements Block.Test check box","test_step_expand_collapse","TestCheckbox","","","User can expand and collapse tree step by step","User can expand and collapse all levels subfolders step by step"
