"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Oct 16 18:27:41 GMT 2023","Mon Oct 16 18:27:42 GMT 2023","1135","Main test.Test Elements Block.Test text box","test_positive_text_box","Test_Text_Box_Form","","","User fill in all fields and submit the form","User can fill in the input fields and submit the form"
"passed","Mon Oct 16 18:27:06 GMT 2023","Mon Oct 16 18:27:28 GMT 2023","21358","Main test.Test Elements Block.Test check box","test_expand_collapse","TestCheckbox","","","User can expand and collapse the tree","User can expand all levels subfolders and then collapse them"
"passed","Mon Oct 16 18:27:45 GMT 2023","Mon Oct 16 18:27:46 GMT 2023","952","Main test.Test Elements Block.Test text box","test_wrong_email","Test_Text_Box_Form","","","User fill in all fields and submit the form","User can't submit the form with the wrong email"
"passed","Mon Oct 16 18:27:36 GMT 2023","Mon Oct 16 18:27:39 GMT 2023","2743","Main test.Test Elements Block.Test check box","test_step_expand_collapse_new","TestCheckbox","","","User can expand and collapse tree step by step","User can expand and collapse all levels subfolders step by step"
"passed","Mon Oct 16 18:27:30 GMT 2023","Mon Oct 16 18:27:34 GMT 2023","3722","Main test.Test Elements Block.Test check box","test_step_expand_collapse","TestCheckbox","","","User can expand and collapse tree step by step","User can expand and collapse all levels subfolders step by step"
